Date,Symbol,Order,Shares
2010-02-16,IBM,SELL,500
2010-03-09,IBM,BUY,500
2010-04-08,IBM,BUY,500
2010-05-17,IBM,SELL,500
2010-06-07,IBM,BUY,500
2010-07-16,IBM,SELL,500
2010-08-11,IBM,SELL,500
2010-08-26,IBM,BUY,500
2010-11-04,IBM,SELL,500
2010-11-23,IBM,BUY,500
2010-12-09,IBM,SELL,500
2010-12-31,IBM,BUY,500
